Model,Venue,TotalScore↑,Aesthetics↑,Motion↑,FaceSim↑,GmeScore↑,NaturalScore↑
[Vidu2.0(20250503)](https://www.vidu.cn/),Closed-Source,51.11%,47.33%,14.80%,38.50%,70.42%,71.99%
[Pika2.1(20250503)](https://pika.art/),Closed-Source,52.56%,52.39%,28.94%,29.41%,75.03%,72.53%
[Kling1.6(20250503)](https://app.klingai.com/cn/),Closed-Source,59.13%,50.94%,50.55%,41.02%,67.79%,78.28%
[VACE-P1.3B](https://github.com/ali-vilab/VACE),Open-Source,46.28%,51.45%,8.78%,19.98%,73.27%,70.89%
[VACE-1.3B](https://github.com/ali-vilab/VACE),Open-Source,49.02%,53.18%,16.87%,22.29%,73.61%,73.00%
[VACE-14B](https://github.com/ali-vilab/VACE),Open-Source,58.57%,52.78%,11.76%,64.65%,69.53%,74.33%
[Phantom-1.3B](https://github.com/Phantom-video/Phantom),Open-Source,53.64%,50.80%,14.14%,46.30%,72.17%,71.67%
[SkyReels-A2-P14B](https://github.com/SkyworkAI/SkyReels-V2),Open-Source,54.27%,39.88%,31.98%,55.02%,63.63%,67.33%
[HunyuanCustom](https://github.com/Tencent-Hunyuan/HunyuanCustom),Open-Source,55.85%,49.67%,15.13%,62.25%,69.78%,67.00%
[Hailuo](https://hailuoai.video/),Closed-Source,60.20%,52.75%,31.83%,57.79%,71.42%,74.52%
[ConsisID](https://github.com/PKU-YuanGroup/ConsisID),Open-Source,52.97%,41.76%,38.12%,43.14%,72.03%,64.67%
[Concat-ID](https://github.com/ML-GSAI/Concat-ID),Open-Source,53.32%,44.13%,31.76%,43.83%,73.67%,66.44%
[FantasyID](https://github.com/Fantasy-AMAP/fantasy-id),Open-Source,49.80%,45.60%,23.48%,32.42%,72.68%,68.11%
[EchoVideo](https://github.com/bytedance/EchoVideo),Open-Source,54.52%,39.93%,35.16%,48.57%,68.40%,69.22%
[VideoMaker](https://github.com/WuTao-CS/VideoMaker),Open-Source,52.31%,31.76%,50.09%,76.45%,45.28%,47.08%
[ID-Animator](https://github.com/ID-Animator/ID-Animator),Open-Source,43.37%,42.03%,33.54%,31.56%,52.91%,54.03%
